Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
Ayuntamiento de Cádiz,https://institucional.cadiz.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Cádiz,Administración
"Aceitunas Losada (Carmona, Sevilla)",https://www.aceitunaslosada.com,Activa,Anual,Mediano,Aceitunas / Industria alimentaria / Sevilla,Alimentaria
CEIP Hermanos Machado (Sevilla),https://ceiphermanosmachado.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP La Cruz (Dúrcal, Granada)",https://colelacruz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Al-Bujaira (Huércal-Overa, Almería)",https://iesalbujaira.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"Bodegas Muñana (Cortés y Graena, Granada)",https://bodegasmunana.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Granada,Bebidas
Asociación Astronomía Sevilla,https://www.astronomiasevilla.org,Activa,Semestral,Pequeno,Astronomía / Asociación / Sevilla,Astronomía
Filmoteca de Andalucía,https://www.filmotecadeandalucia.es,Activa,Unica,Grande,Cine / Instituciones culturales,Cine
Ayuntamiento de Aguilar de la Frontera,https://aguilardelafrontera.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Córdoba,Administración
"CEPR Valle del Guadiaro (La Cañada del Real Tesoro, Málaga)",https://blogsaverroes.juntadeandalucia.es/cprvalledelguadiaro/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Sierra de Huétor (Huétor-Santillán, Granada)",http://colegiohuetorsantillancentro.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
